"JS BACH St. Matthew Passion, BWV 244: Erkenne mich, mein Huter (8.550832-34)",['Come See the Paradise (1990))']
"JS BACH St. Matthew Passion, BWV 244: Kommt, ihr Tochter, helft mir klagen! (8.550832-34)","['Hidden Life (A) (2019)', 'THX 1138 (1971))']"
"JS BACH St. Matthew Passion, BWV 244: Mache dich, mein Herze rein (8.550832-34)",['Talented Mr Ripley (The) (1999))']
"JS BACH St. Matthew Passion, BWV 244: Wir setzen uns mit Tranen nieder (8.550832-34)","['Casino (1995)', 'White Room (1990))']"
JS BACH The Art of Fugue: Counterpoint 9 (Sony 696998775923),['Glenn Gould (32 Short Films about) (1993))']
JS BACH The Art of Fugue: Counterpoints 3 and 11 (Sony 696998775923),['Fortress (1992))']
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 1 in C major, BWV 846 (8.553796-97)","['Baghdad Cafe (1987)', 'Entrapment (1999)', 'Glenn Gould (32 Short Films about) (1993)', 'Mr Nobody (2009)', 'Square (The) (2017))']"
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 2 in C minor, BWV 847 (8.553796-97)","['Chasing Amy (1997)', 'Glenn Gould (32 Short Films about) (1993)', 'Irrational Man (2015)', 'Thick as Thieves)']"
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 4 in C-sharp minor, BWV 849 (8.553796-97)",['Marguerite (2015))']
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 12 in F minor, BWV 857 (8.553796-97)",['Alias Betty (Betty Fisher and other stories) (2001))']
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 14 in F-sharp minor, BWV 859 (8.553796-97)",['Glenn Gould (32 Short Films about) (1993))']
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 15 in G major, BWV 860 (8.553796-97)",['Rise of the Planet of the Apes (2011))']
"JS BACH The Well-Tempered Clavier Book II: Prelude and Fugue No. 9 in E major, BWV 878 (8.550970-71)",['Marguerite (2015))']
"JS BACH The Well-Tempered Clavier Book II: Prelude and Fugue No. 12 in F minor, BWV 857 (8.550970-71)",['Red Dragon (2002))']
"JS BACH The Well-Tempered Clavier Book II: Prelude and Fugue No. 18 in G-sharp minor, BWV 887 (8.550970-71)",['Irrational Man (2015))']
"JS BACH Toccata and Fugue in D minor, BWV 565 (8.553859)","['2000 Leagues Under the Sea (1954)', '976-EVIL (1988)', 'Bad Boys II  Barbarella (1968)', 'Dr Jekyll and Mr Hyde (1931)', 'Fantasia (1940)', ""French Lieutenant's Woman (The) (1981)"", 'Gremlins II: The New Batch (1990)', 'Marguerite (2015)', ""Monty Python's The Meaning of Life (1997)"", 'Oh! What a Lovely War (1969)', 'Quartet (2012)', 'Rollerball (1975)', 'Sour Grapes (1998)', 'Sunset Blvd. (1950)', 'Too Smooth (1998)', 'Zoolander 2 (2016))']"
"JS BACH Toccata and Fugue in D Minor, BWV 565 (arr. L. Stokowski for orchestra) (8.572050)",['Aviator (The) (2004))']
"Toccata, Adagio and Fugue in C major, BWV 564: I. Toccata (8.553859",['Bad Education Movie (The) (2015))']
"JS BACH Toccata, Adagio and Fugue in C major, BWV 564: II. Adagio (8.553859)",['Sour Grapes (1998))']
"JS BACH Viola da Gamba Sonata in G major, BWV 1027: I. Adagio (8.570210)",['Before Sunrise (1995))']
"JS BACH Violin Concerto in A minor, BWV 1041 (8.550194)",['Portrait of a Lady (The) (1996))']
"JS BACH Violin Concerto in A minor, BWV 1041: II. Andante (8.550194)","['On the Road (2012)', 'Primal Fear (1996))']"
"JS BACH Violin Concerto in E major, BWV 1042 (8.550194)",['Lost City of Z (The) (2016))']
"JS BACH Violin Concerto in E major, BWV 1042: III. Allegro assai (8.550194)",['Patriot (The) (2000))']
"JS BACH Violin Partita No. 1 in B minor, BWV 1002 (8.570277-78)",['Detours (2016))']
"JS BACH Violin Partita No. 1 in B minor, BWV 1002: I. Allemanda (8.570277-78)",['Sunday (2008))']
