COMPOSER composition title,composer(abbrev),composition
"BEETHOVEN Bagatelle No. 2 in G minor, Op. 126: Allegro (8.550474)",BEETHOVEN,"Bagatelle No. 2 in G minor, Op. 126: Allegro"
"SCHUBERT 4 Impromptus, Op. 90, D. 899: Impromptu No. 1 in C minor (8.550260)",SCHUBERT,"4 Impromptus, Op. 90, D. 899: Impromptu No. 1 in C minor"
"SCHUBERT 4 Impromptus, Op. 90, D. 899: Impromptu No. 3 in G-flat major (8.550260)",SCHUBERT,"4 Impromptus, Op. 90, D. 899: Impromptu No. 3 in G-flat major"
"VERDI Don Carlos: Dio, che nell'alma infondere (8.660096-98)",VERDI,"Don Carlos: Dio, che nell'alma infondere"
BERNSTEIN West Side Story: Excerpts (8.559126),BERNSTEIN,West Side Story: Excerpts
FLOTOW Martha: M'appari tutt' amor (8.556632),FLOTOW,Martha: M'appari tutt' amor
"PROKOFIEV Violin Concerto No. 2 in G minor, Op. 63 (8.553494)",PROKOFIEV,"Violin Concerto No. 2 in G minor, Op. 63"
VERDI Rigoletto: La donna e mobile (8.660013-14),VERDI,Rigoletto: La donna e mobile
"ARENSKY Suites for 2 Pianos Nos. 1-5: Suite No. 1 in F Major, Op. 15 (Marco Polo 8.223497)",ARENSKY,"Suites for 2 Pianos Nos. 1-5: Suite No. 1 in F Major, Op. 15"
"RIMSKY-KORSAKOV Russian Easter Festival, Op. 36 (8.550085)",RIMSKY-KORSAKOV,"Russian Easter Festival, Op. 36"
"J STRAUSS II  Wildfeuer, Polka francaise, Op. 313 (Marco Polo 8.223240)",J STRAUSS II,"Wildfeuer, Polka francaise, Op. 313"
ALLEGRI Miserere mei (8.550827),ALLEGRI,Miserere mei
GIAZOTTO Adagio in G minor (8.552244),GIAZOTTO,Adagio in G minor
GLUCK Orphee et Euridice: Danses des Ombres Heureuses (8.660185-86),GLUCK,Orphee et Euridice: Danses des Ombres Heureuses
"TCHAIKOVSKY Violin Concerto in D major, Op. 35: II. Canzonetta: Andante (8.550153)",TCHAIKOVSKY,"Violin Concerto in D major, Op. 35: II. Canzonetta: Andante"
"JS BACH Harpsichord Concerto in G Minor, BWV 1058: II. Andante (8.550423)",JS BACH,"Harpsichord Concerto in G Minor, BWV 1058: II. Andante"
BELLINI Norma: Casta diva (8.110325-27),BELLINI,Norma: Casta diva
"SCHUBERT Piano Trio in E-Flat Major, D. 897, ""Notturno"": Adagio (8.550132)",SCHUBERT,"Piano Trio in E-Flat Major, D. 897, ""Notturno"": Adagio"
VERDI Don Carlos: E lui! desso! l'infante (8.660096-98),VERDI,Don Carlos: E lui! desso! l'infante
