COMPOSER composition title,composer(abbrev),composition
"BEETHOVEN Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"" (8.550045)",BEETHOVEN,"Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"""
"BEETHOVEN Piano Sonata No. 23 in F minor, Op. 57, ""Appassionata"": II. Andante con moto (8.550045)",BEETHOVEN,"Piano Sonata No. 23 in F minor, Op. 57, ""Appassionata"": II. Andante con moto"
"HAYDN Symphony No. 45 in F-Sharp Minor, Hob.I:45, ""Farewell"": IV. Finale: Presto - Adagio (8.550382)",HAYDN,"Symphony No. 45 in F-Sharp Minor, Hob.I:45, ""Farewell"": IV. Finale: Presto - Adagio"
"MOZART Piano Sonata No. 12 in F major, K. 332: III. Allegro assai (8.550446)",MOZART,"Piano Sonata No. 12 in F major, K. 332: III. Allegro assai"
"KODALY Sonata for Solo Cello, Op. 8: I. Allegro maestro ma appassionato (8.553160)",KODALY,"Sonata for Solo Cello, Op. 8: I. Allegro maestro ma appassionato"
"JS BACH Brandenburg Concerto No. 4 in G Major, BWV 1049: II. Andante (8.554608)",JS BACH,"Brandenburg Concerto No. 4 in G Major, BWV 1049: II. Andante"
"JS BACH Vor deinen Thron tret ich (Before Thy throne I stand), BWV 668 (8.550927)",JS BACH,Vor deinen Thron tret ich
VAUGHAN WILLIAMS 5 Variants of Dives and Lazarus (8.557798),VAUGHAN WILLIAMS,5 Variants of Dives and Lazarus
"TCHAIKOVSKY Swan Lake, Op. 20: Act I Finale (8.550246-47)",TCHAIKOVSKY,"Swan Lake, Op. 20: Act I Finale"
"TCHAIKOVSKY Valse-Scherzo, Op. 34 (8.557690)",TCHAIKOVSKY,"Valse-Scherzo, Op. 34"
"BEETHOVEN Piano Concerto No. 1 in C major, Op. 15: II. Largo (8.550190)",BEETHOVEN,"Piano Concerto No. 1 in C major, Op. 15: II. Largo"
"BEETHOVEN Piano Concerto No. 3 in C minor, Op. 37: I. Allegro con brio (8.550122)",BEETHOVEN,"Piano Concerto No. 3 in C minor, Op. 37: I. Allegro con brio"
"BEETHOVEN Piano Sonata No. 31 in A-flat major, Op. 110: I. Moderato cantabile, molto espressivo (8.550151)",BEETHOVEN,"Piano Sonata No. 31 in A-flat major, Op. 110: I. Moderato cantabile, molto espressivo"
"BERLIOZ Symphonie fantastique, Op. 14: III. Scene aux champs: Adagio (8.550093)",BERLIOZ,"Symphonie fantastique, Op. 14: III. Scene aux champs: Adagio"
"CHOPIN Nocturne No. 4 in F major, Op. 15, No. 1 (8.554531)",CHOPIN,"Nocturne No. 4 in F major, Op. 15, No. 1"
TELEMANN Musique de Table (Tafelkmusik) Part III: Quartet in E minor: II. Allegro (8.553732),TELEMANN,Musique de Table
"RACHMANINOV Symphonic Dances, Op. 45: I. Non allegro (8.550583)",RACHMANINOV,"Symphonic Dances, Op. 45: I. Non allegro"
"DEBUSSY Preludes, Book 1: No. 10 La cathedrale engloutie (8.553293)",DEBUSSY,"Preludes, Book 1: No. 10 La cathedrale engloutie"
"DEBUSSY String Quartet No. 1 in G Minor, Op. 10 : I. Anime et tres decide (8.550249)",DEBUSSY,"String Quartet No. 1 in G Minor, Op. 10 : I. Anime et tres decide"
"SCHUBERT Piano Sonata No. 21 in B-flat major, D. 960 (8.550475)",SCHUBERT,"Piano Sonata No. 21 in B-flat major, D. 960"
WAGNER Tristan und Isolde: Prelude (8.660152-54),WAGNER,Tristan und Isolde: Prelude
"VIVALDI Concerto for Two Trumpets in C major, RV 537 (8.554040)",VIVALDI,"Concerto for Two Trumpets in C major, RV 537"
"VIVALDI The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"" (Autumn) ()",VIVALDI,"The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"""
"VIVALDI Flute Concerto in G minor, Op. 10, No. 2, RV 439, ""La notte"" (8.553101)",VIVALDI,"Flute Concerto in G minor, Op. 10, No. 2, RV 439, ""La notte"""
CRUMB Black Angels: Threnody I - Night of the Electric Insects (Bridge Records BCD9139),CRUMB,Black Angels: Threnody I - Night of the Electric Insects
PENDERECKI Polymorphia (8.557980),PENDERECKI,Polymorphia
PENDERECKI String Quartet No. 1 (BIS 7318590006528),PENDERECKI,String Quartet No. 1
"WEBERN 5 Pieces, Op. 10: Fliessend, ausserst zart (8.554841)",WEBERN,"5 Pieces, Op. 10: Fliessend, ausserst zart"
LASSUS Lagrime di San Pietro: 10a parte - Come falda di neve (Christophorus 4010072772558),LASSUS,Lagrime di San Pietro: 10a parte - Come falda di neve
"SCHUBERT 4 Impromptus, Op. 90, D. 899: Impromptu No. 4 in A-flat major (8.550260)",SCHUBERT,"4 Impromptus, Op. 90, D. 899: Impromptu No. 4 in A-flat major"
"JS BACH Partita No. 4 in D major, BWV 828: III. Courante (8.550693)",JS BACH,"Partita No. 4 in D major, BWV 828: III. Courante"
"TCHAIKOVSKY Violin Concerto in D major, Op. 35: III. Finale (8.550153)",TCHAIKOVSKY,"Violin Concerto in D major, Op. 35: III. Finale"
"CHOPIN Nocturne No. 3 in B major, Op. 9, No. 3 (8.554531)",CHOPIN,"Nocturne No. 3 in B major, Op. 9, No. 3"
"MOZART Clarinet Concerto in A major, K. 622: I. Allegro (8.550345)",MOZART,"Clarinet Concerto in A major, K. 622: I. Allegro"
"VIVALDI Concerto for Recorder, Oboe, Violin and Bassoon in G minor, RV 105 (8.557215)",VIVALDI,"Concerto for Recorder, Oboe, Violin and Bassoon in G minor, RV 105"
LIGETI Musica Ricercata: II. Mesto. Parlando - Piu mosso - Tempo I (BIS BIS-CD-53),LIGETI,Musica Ricercata: II. Mesto. Parlando - Piu mosso - Tempo I
"LISZT Nuages gris (Trube Wolken), S199/R78 (8.553852)",LISZT,Nuages gris
"MOZART Requiem in D minor, K. 626: Rex tremendae majestatis (8.550235)",MOZART,"Requiem in D minor, K. 626: Rex tremendae majestatis"
"SIECZYNSKI Wien, du Stadt meiner Traume, Op. 1 (8.111095)",SIECZYNSKI,"Wien, du Stadt meiner Traume, Op. 1"
"MOZART Die Zauberflote (The Magic Flute), K. 620: Ach, ich fuhl's, es ist verschwunden (8.660030-31)",MOZART,Die Zauberflote
GLASS Violin Concerto: II. - - (8.554568),GLASS,Violin Concerto: II. - -
COPLAND Our Town (Centaur CRC3240),COPLAND,Our Town
HANDEL Judas Maccabaeus: See here the conqu'ring hero comes (8.551115),HANDEL,Judas Maccabaeus: See here the conqu'ring hero comes
"MOZART Horn Concerto No. 3 in E-flat major, K. 447: III. Allegro (8.553592)",MOZART,"Horn Concerto No. 3 in E-flat major, K. 447: III. Allegro"
"MOZART Piano Sonata No. 11 in A major, K. 331: I. Tema (8.550448)",MOZART,"Piano Sonata No. 11 in A major, K. 331: I. Tema"
ROSSINI La scala di seta (The Silken Ladder): Overture (8.550236),ROSSINI,La scala di seta
BRITTEN Cello Suites Nos. 1-3 (8.553663),BRITTEN,Cello Suites Nos. 1-3
DVORAK Humoresque (8.550306),DVORAK,Humoresque
"BEETHOVEN Symphony No. 6 in F major, Op. 68, ""Pastoral"" (8.553474)",BEETHOVEN,"Symphony No. 6 in F major, Op. 68, ""Pastoral"""
DUKAS L'apprenti sorcier (The Sorcerer's Apprentice) (8.554066),DUKAS,L'apprenti sorcier
PONCHIELLI La Gioconda: Dance of the Hours (8.550081),PONCHIELLI,La Gioconda: Dance of the Hours
ELGAR Pomp and Circumstance Military March No. 2 (8.557273),ELGAR,Pomp and Circumstance Military March No. 2
ELGAR Pomp and Circumstance Military March No. 3 (8.557273),ELGAR,Pomp and Circumstance Military March No. 3
GERSHWIN Rhapsody in Blue (8.550295),GERSHWIN,Rhapsody in Blue
RESPIGHI Pines of Rome (8.550539),RESPIGHI,Pines of Rome
SAINT-SAENS Carnival of the Animals: XIV. Finale (8.550335),SAINT-SAENS,Carnival of the Animals: XIV. Finale
"SHOSTAKOVICH Piano Concerto No. 2 in F major, Op. 102: I. Allegro (8.553126)",SHOSTAKOVICH,"Piano Concerto No. 2 in F major, Op. 102: I. Allegro"
STRAVINSKY The Firebird (8.554060),STRAVINSKY,The Firebird
"GIACOMELLI Sposa, son disprezzata (Tactus TC670002)",GIACOMELLI,"Sposa, son disprezzata"
"VIVALDI Mandolin Concerto in C major, RV 425: I. Allegro (8.552101-02)",VIVALDI,"Mandolin Concerto in C major, RV 425: I. Allegro"
"HANDEL Rinaldo, HWV 7a: Cara sposa, amante cara, dove sei (8.660165-67)",HANDEL,"Rinaldo, HWV 7a: Cara sposa, amante cara, dove sei"
"HANDEL Rinaldo, HWV 7a: Overture (8.660165-67)",HANDEL,"Rinaldo, HWV 7a: Overture"
PERGOLESI Salve Regina in C minor (8.557447),PERGOLESI,Salve Regina in C minor
PUCCINI Madama Butterfly: Con onor muore (8.660015-16),PUCCINI,Madama Butterfly: Con onor muore
"BIZET Les pecheurs de perles (The Pearl Fishers): Je crois entendre encore, cache sous les palmiers (Dynamic CDS459)",BIZET,Les pecheurs de perles
"JS BACH Overture (Suite) No. 2 in B minor, BWV 1067: VI. Minuet (8.554609)",JS BACH,Overture
"JS BACH Overture (Suite) No. 2 in B minor, BWV 1067: VII. Badinerie (8.554609)",JS BACH,Overture
"JS BACH Fantasia in C minor, BWV 562 (8.553032)",JS BACH,"Fantasia in C minor, BWV 562"
"JS BACH Pastorale in F major, BWV 590: III. Aria (8.550184)",JS BACH,"Pastorale in F major, BWV 590: III. Aria"
"HANDEL Concerto Grosso in B-flat major, Op. 6, No. 7, HWV 325: I. Largo (8.557358-60)",HANDEL,"Concerto Grosso in B-flat major, Op. 6, No. 7, HWV 325: I. Largo"
MESSIAEN La Nativite du Seigneur: VII. Jesus accepte la souffrance (8.573332),MESSIAEN,La Nativite du Seigneur: VII. Jesus accepte la souffrance
"PURCELL Oedipus, King of Thebes, Z. 583: Music for a While (Oehms Classics OC870)",PURCELL,"Oedipus, King of Thebes, Z. 583: Music for a While"
"PURCELL Trumpet Sonata in D major, Z. 850: II. Adagio (8.553444)",PURCELL,"Trumpet Sonata in D major, Z. 850: II. Adagio"
"VIVALDI Violin Concerto in E minor, Op. 11, No. 2, RV 277, ""Il favorito"" (Dynamic CDS147)",VIVALDI,"Violin Concerto in E minor, Op. 11, No. 2, RV 277, ""Il favorito"""
"VIVALDI Viola d'amore Concerto in A Minor, RV 397 (Cedille CDR90000-159)",VIVALDI,"Viola d'amore Concerto in A Minor, RV 397"
"BEETHOVEN Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"": III. Rondo (8.550121)",BEETHOVEN,"Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"": III. Rondo"
"GORECKI Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": III. Lento - Cantabile semplice (8.550822)",GORECKI,"Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": III. Lento - Cantabile semplice"
"J STRAUSS II Unter Donner und Blitz (Thunder and Lightning), Polka, Op. 324 (8.554518)",J STRAUSS II,Unter Donner und Blitz
BEETHOVEN Fidelio: O welche Lust (Chorus of Prisoners) (8.660070-71),BEETHOVEN,Fidelio: O welche Lust
DONIZETTI Lucia di Lammermoor: Il dolce suono mi colpi (8.660255-56),DONIZETTI,Lucia di Lammermoor: Il dolce suono mi colpi
"MOZART Violin Concerto No. 5 in A major, K. 219: III. Tempo di menuetto (8.550418)",MOZART,"Violin Concerto No. 5 in A major, K. 219: III. Tempo di menuetto"
"JS BACH Keyboard Concerto in D Minor, BWV 974 (arr of A. Marcello's Oboe Concerto): II. Adagio (8.572006-07)",JS BACH,"Keyboard Concerto in D Minor, BWV 974"
"ORFF 4 Stucke fur Xylophon: Musik fur Kinder III, No. 15 (Celestial Harmonies 13104-2)",ORFF,"4 Stucke fur Xylophon: Musik fur Kinder III, No. 15"
"MOZART Symphony No. 40 in G minor, K. 550: I. Molto allegro (8.550299)",MOZART,"Symphony No. 40 in G minor, K. 550: I. Molto allegro"
"JS BACH Cello Suite No. 1 in G major, BWV 1007 (8.557280-81)",JS BACH,"Cello Suite No. 1 in G major, BWV 1007"
"DANZI Wind Quintet in G minor, Op. 56, No. 2 (8.553076)",DANZI,"Wind Quintet in G minor, Op. 56, No. 2"
SAINT-SAENS Carnival of the Animals: XIII. The Swan (8.550335),SAINT-SAENS,Carnival of the Animals: XIII. The Swan
"BRAHMS Piano Trio No. 2 in C major, Op. 87 (8.550746)",BRAHMS,"Piano Trio No. 2 in C major, Op. 87"
"CHOPIN Barcarolle, Op. 60 (8.554536)",CHOPIN,"Barcarolle, Op. 60"
"CHOPIN Prelude No. 16 in B-flat minor, Op. 28, No. 16 (8.554536)",CHOPIN,"Prelude No. 16 in B-flat minor, Op. 28, No. 16"
"CHOPIN Scherzo No. 2 in B-flat minor, Op. 31 (8.554538)",CHOPIN,"Scherzo No. 2 in B-flat minor, Op. 31"
TRADITIONAL Romance d'amour (8.551171),TRADITIONAL,Romance d'amour
"HANDEL Solomon, HWV 67: Arrival of the Queen of Sheba (8.557574-75)",HANDEL,"Solomon, HWV 67: Arrival of the Queen of Sheba"
"HANDEL Water Music: Suite No. 2 in D major, HWV 349: II. Alla Hornpipe (8.557764)",HANDEL,"Water Music: Suite No. 2 in D major, HWV 349: II. Alla Hornpipe"
JS BACH The Art of Fugue: Counterpoints 3 and 11 (Sony 696998775923),JS BACH,The Art of Fugue: Counterpoints 3 and 11
"DVORAK 8 Humoresques, Op. 101, B. 187: No. 7. Poco lento e grazioso in G-flat major (8.550306)",DVORAK,"8 Humoresques, Op. 101, B. 187: No. 7. Poco lento e grazioso in G-flat major"
SULLIVAN The Mikado: If you want to know who we are (8.110176-77),SULLIVAN,The Mikado: If you want to know who we are
"CHOPIN Nocturne No. 20 in C-sharp minor, Op. post. (8.554531)",CHOPIN,"Nocturne No. 20 in C-sharp minor, Op. post."
DEBUSSY Nuit d'etoiles (8.573780),DEBUSSY,Nuit d'etoiles
"RIMSKY-KORSAKOV Scheherazade, Op. 35 (8.572693)",RIMSKY-KORSAKOV,"Scheherazade, Op. 35"
"TCHAIKOVSKY String Quartet No. 1 in D major, Op. 11: II. Andante cantabile (8.550847)",TCHAIKOVSKY,"String Quartet No. 1 in D major, Op. 11: II. Andante cantabile"
"MOZART Piano Sonata No. 15 in F major, K. 533: II. Andante (8.550445)",MOZART,"Piano Sonata No. 15 in F major, K. 533: II. Andante"
MONTEVERDI Madrigals Book 4 (2.110224),MONTEVERDI,Madrigals Book 4
"HANDEL Atalanta, HWV 35: Care selve, ombre beate (Come, My Beloved)Care selve, ombre beate (8.111401)",HANDEL,"Atalanta, HWV 35: Care selve, ombre beate"
"MOZART Adagio and Fugue in C minor, K. 546 (8.550547)",MOZART,"Adagio and Fugue in C minor, K. 546"
BIZET Les pecheurs de perles (Pearl Fishers): Au fond du temple saint (8.553030),BIZET,Les pecheurs de perles
"PAGANINI Centone di sonate, Op. 64, MS 112: Sonata No. 3 in C major (8.553141)",PAGANINI,"Centone di sonate, Op. 64, MS 112: Sonata No. 3 in C major"
"TCHAIKOVSKY Souvenir de Florence, Op. 70 (8.550404)",TCHAIKOVSKY,"Souvenir de Florence, Op. 70"
"BEETHOVEN Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"": I. Grave (8.550045)",BEETHOVEN,"Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"": I. Grave"
"CHOPIN Ballade No. 1 in G Minor, Op. 23 (8.550508)",CHOPIN,"Ballade No. 1 in G Minor, Op. 23"
DONIZETTI Verranno a te sull'aure (8.660255-56),DONIZETTI,Verranno a te sull'aure
LEONCAVALLO Mattinata (8.550087),LEONCAVALLO,Mattinata
"MOZART Die Zauberflote (The Magic Flute), K. 620: In diesen heil'gen Hallen (8.660030-31)",MOZART,Die Zauberflote
"BEETHOVEN String Quartet No. 6 in B-flat major, Op. 18, No. 6 (8.550560)",BEETHOVEN,"String Quartet No. 6 in B-flat major, Op. 18, No. 6"
"HAYDN String Quartet No. 31 in B minor, Op. 33, No. 1, Hob.III:37 (8.550788)",HAYDN,"String Quartet No. 31 in B minor, Op. 33, No. 1, Hob.III:37"
CHOPIN Les Sylphides (Capriccio C10073),CHOPIN,Les Sylphides
"MOZART Piano Concerto No. 14 in E-flat major, K. 449 (8.550202)",MOZART,"Piano Concerto No. 14 in E-flat major, K. 449"
"MOZART Piano Concerto No. 24 in C minor, K. 491 (8.550204)",MOZART,"Piano Concerto No. 24 in C minor, K. 491"
"HAYDN String Quartet No. 2 in E-flat major, Op. 1, No. 2, Hob.III:2: II. Minuet (8.550398)",HAYDN,"String Quartet No. 2 in E-flat major, Op. 1, No. 2, Hob.III:2: II. Minuet"
L ANDERSON Sleigh Ride (8.559125),L ANDERSON,Sleigh Ride
"ALBENIZ Chant d'Espagne, Op. 232: No. 4. Cordoba (Ondine ODE752-2)",ALBENIZ,"Chant d'Espagne, Op. 232: No. 4. Cordoba"
"LISZT Liebestraume, S541/R211: No. 3: Nocturne in A-flat major (8.553595)",LISZT,"Liebestraume, S541/R211: No. 3: Nocturne in A-flat major"
"JS BACH English Suite No. 2 in A minor, BWV 807: I. Prelude (8.553012)",JS BACH,"English Suite No. 2 in A minor, BWV 807: I. Prelude"
"JS BACH English Suite No. 2 in A minor, BWV 807: VI. Gigue (8.553012)",JS BACH,"English Suite No. 2 in A minor, BWV 807: VI. Gigue"
"JS BACH English Suite No. 5 in E minor, BWV 810 : I. Prelude (8.553013)",JS BACH,"English Suite No. 5 in E minor, BWV 810 : I. Prelude"
"JS BACH French Suite No. 1 in D minor, BWV 812: III. Sarabande (8.550709)",JS BACH,"French Suite No. 1 in D minor, BWV 812: III. Sarabande"
"JS BACH Goldberg Variations, BWV 988: Aria and Variation 19 (8.550078)",JS BACH,"Goldberg Variations, BWV 988: Aria and Variation 19"
"JS BACH Invention No. 13 in A minor, BWV 784 (8.550679)",JS BACH,"Invention No. 13 in A minor, BWV 784"
"JS BACH Prelude in D minor, BWV 926 (Sony 827969301623)",JS BACH,"Prelude in D minor, BWV 926"
JS BACH The Art of Fugue: Counterpoint 9 (Sony 696998775923),JS BACH,The Art of Fugue: Counterpoint 9
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 14 in F-sharp minor, BWV 859 (8.553796-97)",JS BACH,"The Well-Tempered Clavier Book I: Prelude and Fugue No. 14 in F-sharp minor, BWV 859"
BEETHOVEN 32 Variations in C minor: Variations XXVI and XXVII (8.550676),BEETHOVEN,32 Variations in C minor: Variations XXVI and XXVII
"BEETHOVEN Piano Sonata No. 13 in E-flat major, Op. 27, No. 1, ""Quasi una Fantasia"": II. Allegro molto vivace (8.550167)",BEETHOVEN,"Piano Sonata No. 13 in E-flat major, Op. 27, No. 1, ""Quasi una Fantasia"": II. Allegro molto vivace"
"BEETHOVEN Piano Sonata No. 17 in D minor, Op. 31, No. 2, ""Tempest"": III. Allegretto (8.550054)",BEETHOVEN,"Piano Sonata No. 17 in D minor, Op. 31, No. 2, ""Tempest"": III. Allegretto"
HINDEMITH Piano Sonata No. 3 in B-flat major: III. Massig schnell (Nimbus NI5459-60),HINDEMITH,Piano Sonata No. 3 in B-flat major: III. Massig schnell
"SCHOENBERG 6 Little Piano Pieces, Op. 19: I. Leicht, zart (8.553870)",SCHOENBERG,"6 Little Piano Pieces, Op. 19: I. Leicht, zart"
"SCHOENBERG Suite for Piano, Op. 25: IX. Gigue (8.553870)",SCHOENBERG,"Suite for Piano, Op. 25: IX. Gigue"
"SCRIABIN 2 Pieces, Op. 57: No. 1. Desir (Capriccio C49586)",SCRIABIN,"2 Pieces, Op. 57: No. 1. Desir"
"SIBELIUS Sonatine No. 2 in E major, Op. 67, No. 2: Andantino (8.554814)",SIBELIUS,"Sonatine No. 2 in E major, Op. 67, No. 2: Andantino"
"R STRAUSS Piano Sonata in B minor, Op. 5, TrV 103: II. Adagio cantabile (8.557713)",R STRAUSS,"Piano Sonata in B minor, Op. 5, TrV 103: II. Adagio cantabile"
"CLARKE Suite in D Major: IV. The Prince of Denmark's March, ""Trumpet Voluntary"" (8.572050)",CLARKE,"Suite in D Major: IV. The Prince of Denmark's March, ""Trumpet Voluntary"""
TCHAIKOVSKY The Nutcracker: VII. Dance of the Reeds (8.550050),TCHAIKOVSKY,The Nutcracker: VII. Dance of the Reeds
MASCAGNI Cavalleria rusticana: Viva il vino spumeggiante (8.660022),MASCAGNI,Cavalleria rusticana: Viva il vino spumeggiante
"JS BACH Goldberg Variations, BWV 988: Variation 27 (8.550078)",JS BACH,"Goldberg Variations, BWV 988: Variation 27"
"BRAHMS Piano Concerto No. 1 in D minor, Op. 15: I. Maestoso (8.554088)",BRAHMS,"Piano Concerto No. 1 in D minor, Op. 15: I. Maestoso"
"DVORAK 8 Waltzes, Op. 54 (B. 101): No. 1: Moderato in A major (8.557474)",DVORAK,"8 Waltzes, Op. 54"
"DVORAK String Quartet No. 10 in E-flat major, Op. 51: III. Romanza: Andante con moto (8.553374)",DVORAK,"String Quartet No. 10 in E-flat major, Op. 51: III. Romanza: Andante con moto"
"PUCCINI La Boheme: Si, mi chiamo Mimi (8.553151)",PUCCINI,"La Boheme: Si, mi chiamo Mimi"
"SCHUBERT 6 Grandes Marches, Op. 40, D. 819: No. 5 in E-flat minor (8.572699)",SCHUBERT,"6 Grandes Marches, Op. 40, D. 819: No. 5 in E-flat minor"
"SCHUBERT Sonata for Piano 4 Hands in B-flat major, Op. 30, D. 617 (8.572699)",SCHUBERT,"Sonata for Piano 4 Hands in B-flat major, Op. 30, D. 617"
"BRAHMS Symphony No. 3 in F major, Op. 90: III. Poco allegretto (8.550280)",BRAHMS,"Symphony No. 3 in F major, Op. 90: III. Poco allegretto"
"JS BACH Anna Magdalena Notenbuch (Clavier-Buchlein III): Bist du bei mir, BWV 508 (attrib. G.H. Stolzel) (8.553751)",JS BACH,Anna Magdalena Notenbuch
"SCHUBERT Standchen (Horch, horch! die Lerch), D. 889, ""Hark, hark, the lark"" (8.557026-27)",SCHUBERT,Standchen
VIVALDI Concerto for Lute and Plucked Strings (arr. S. Behrend): I. Moderato (Acanta 233498),VIVALDI,Concerto for Lute and Plucked Strings
TCHAIKOVSKY Romeo and Juliet Fantasy Overture (8.553017),TCHAIKOVSKY,Romeo and Juliet Fantasy Overture
"GORECKI  Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": III. Lento - Cantabile semplice (8.550822)",GORECKI,"Symphony No. 3, Op. 36, ""Symphony of Sorrowful Songs"": III. Lento - Cantabile semplice"
PART My Heart's in the Highlands (Delphian DCD34060),PART,My Heart's in the Highlands
POULENC 3 movements perpetuels: I. Assez modere (8.553930),POULENC,3 movements perpetuels: I. Assez modere
TAVENER The Lamb (8.555256),TAVENER,The Lamb
IVANOVICI Valurile Dunarii (The Danube Waves) (8.553337),IVANOVICI,Valurile Dunarii
MASCAGNI Cavalleria Rusticana: Intermezzo (8.660022),MASCAGNI,Cavalleria Rusticana: Intermezzo
PUCCINI Tosca: E lucevan le stelle (8.660001-02),PUCCINI,Tosca: E lucevan le stelle
VERDI Il trovatore: Miserere d'un alma gia vicina (8.660023-24),VERDI,Il trovatore: Miserere d'un alma gia vicina
VERDI Rigoletto: Bella figlia dell'amore (8.660013-14),VERDI,Rigoletto: Bella figlia dell'amore
"MOZART Cosi fan tutte, K. 588: Overture (8.660008-10)",MOZART,"Cosi fan tutte, K. 588: Overture"
"HAYDN String Quartet No. 6 in C major, Op. 1, No. 6, Hob.III:6 (8.550399)",HAYDN,"String Quartet No. 6 in C major, Op. 1, No. 6, Hob.III:6"
GLASS Satyagraha: Act II Scene 3: Protest (Sony Classical 886446115276),GLASS,Satyagraha: Act II Scene 3: Protest
"CHOPIN Etude No. 23 in A minor, Op. 25, No. 11, ""Winter Wind"" (8.554528)",CHOPIN,"Etude No. 23 in A minor, Op. 25, No. 11, ""Winter Wind"""
SATIE Valse-ballet (8.550698),SATIE,Valse-ballet
"MOZART Flute Concerto No. 1 in G major, K. 313: I. Allegro maestoso (8.550074)",MOZART,"Flute Concerto No. 1 in G major, K. 313: I. Allegro maestoso"
